Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Transmembrane/Signal peptide prediction	Superkingdom	Phylum	Class	Order	Genus	Species
00002	RS16_RHOBA	GCA_000196115.1	+	6917834	6919309	-1565	-90	9	CAD77804.1	signal recognition particle protein		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	+	6917303	6917743	1	441	11	CAD77803.1	probable 30S ribosomal protein S16		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	+	6916578	6917306	438	1166	8	CAD77802.1	tRNA (Guanine-N(1))-methyltransferase		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	+	6916205	6916558	1186	1539	7	CAD77801.1	50S ribosomal protein L19		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	+	6915996	6916142	1602	1748	0	CAD77800.1	hypothetical protein		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	+	6915498	6915989	1755	2246	0	CAD77799.1	hypothetical protein		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1

00003	RS16_MYCGE	GCA_000027325.1	+	554430	555614	-5421	-4237	0	AAC72471.1	translation elongation factor Tu		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	553558	554430	-4237	-3365	0	AAC72470.2	degV family protein		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	552447	552899	-2706	-2254	0	AAC72468.1	methionine-R-sulfoxide reductase		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	550803	552446	-2253	-610	0	AAC72467.1	membrane protein%2C putative		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	549905	550192	1	288	11	AAC72466.2	ribosomal protein S16		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	549210	549905	288	983	8	AAC72465.1	tRNA (guanine-N1)-methyltransferase		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	548867	549226	967	1326	7	AAC72464.1	ribosomal protein L19		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	547664	548851	1342	2529	0	AAC72463.1	membrane protein%2C putative		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37
00003	RS16_MYCGE	GCA_000027325.1	+	546880	547692	2501	3313	0	AAC72462.1	GTP-binding conserved hypothetical protein		Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasma	Mycoplasma genitalium G37

00004	RS16_CHLCH	GCA_000012585.1	-	1131852	1132943	-5203	-4112	0	ABB28074.1	specificity determinant HsdS-like protein		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	-	1130395	1131855	-4115	-2655	0	ABB28073.1	DNA-methyltransferase%2C type I restriction-modification enzyme subunit M		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	-	1129256	1130290	-2550	-1516	0	ABB28072.1	RfaE bifunctional protein%2C domain I		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	+	1127792	1129147	-1407	-52	9	ABB28071.1	signal recognition particle subunit FFH/SRP54 (srp54)		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	+	1127329	1127739	1	411	11	ABB28070.1	SSU ribosomal protein S16P		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	+	1126793	1127296	444	947	5	ABB28069.1	16S rRNA processing protein RimM		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	+	1126066	1126761	979	1674	8	ABB28068.1	tRNA (Guanine37-N(1)-) methyltransferase		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	+	1125677	1126039	1701	2063	7	ABB28067.1	LSU ribosomal protein L19P		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3
00004	RS16_CHLCH	GCA_000012585.1	+	1124699	1125538	2202	3041	0	ABB28066.1	conserved hypothetical protein		Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobium	Chlorobium chlorochromatii CaD3

00005	RS16_ECOLI	GCF_000005845.2	+	2750115	2750708	-4522	-3929	0	NP_417104.1	nucleotide exchange factor GrpE		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	-	2748774	2750060	-3874	-2588	0	YP_026171.3	putative inner membrane protein		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	-	2747962	2748753	-2567	-1776	0	NP_417102.4	cytochrome c assembly family protein		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	+	2746434	2747795	-1609	-248	9	NP_417101.1	signal recognition particle protein component		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	+	2745937	2746185	1	249	11	NP_417100.1	30S ribosomal subunit protein S16		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	+	2745370	2745918	268	816	5	NP_417099.4	ribosome maturation factor RimM		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	+	2744572	2745339	847	1614	8	NP_417098.1	tRNA m(1)G37 methyltransferase		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	+	2744183	2744530	1656	2003	7	NP_417097.1	50S ribosomal subunit protein L19		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
00005	RS16_ECOLI	GCF_000005845.2	-	2743625	2744107	2079	2561	3	NP_417096.1	lipoprotein YfiB		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655

00006	C9RLH7_FIBSS	GCA_000146505.1	+	3426332	3427696	-4090	-2726	9	ADL27401.1	signal recognition particle protein		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	-	3425733	3426263	-2657	-2127	0	ADL26778.1	acetyltransferase%2C GNAT family		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	-	3425500	3425718	-2112	-1894	0	ADL24632.1	hypothetical protein		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	-	3423935	3425302	-1696	-329	0	ADL26321.1	diguanylate cyclase (GGDEF) domain protein		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	+	3423192	3423605	1	414	11	ADL25432.1	ribosomal protein S16		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	+	3422528	3423085	521	1078	5	ADL26406.1	16S rRNA processing protein RimM		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	+	3421827	3422531	1075	1779	8	ADL25835.1	tRNA (guanine-N(1)-)-methyltransferase		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	+	3421463	3421810	1796	2143	7	ADL26577.1	ribosomal protein L19		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85
00006	C9RLH7_FIBSS	GCA_000146505.1	+	3420523	3420972	2634	3083	0	ADL25209.1	hypothetical protein		Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85

00007	RS16_BORPA	GCA_000195695.1	+	3073518	3074336	-4663	-3845	0	CAE38163.1	putative exported protein		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	+	3070822	3073446	-3773	-1149	0	CAE38162.1	alanyl-tRNA synthetase		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	+	3070581	3070835	-1162	-908	0	CAE38161.1	conserved hypothetical protein		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	-	3069931	3070512	-839	-258	10000	BPP2868	pseudogene		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	+	3069367	3069672	1	306	11	CAE38159.1	30S ribosomal protein S16		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	+	3068578	3069201	472	1095	5	CAE38158.1	16S rRNA processing protein		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	+	3067805	3068578	1095	1868	8	CAE38157.1	tRNA (guanine-N1)-methyltransferase		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	-	3066600	3067808	1865	3073	0	CAE38156.1	probable class-V aminotransferase		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis
00007	RS16_BORPA	GCA_000195695.1	-	3066068	3066574	3099	3605	0	CAE38155.1	conserved hypothetical protein		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Bordetella	Bordetella parapertussis

00008	RS16_METI4	GCA_000019665.1	-	1196838	1197119	-3911	-3630	0	ACD83334.1	Hypothetical protein		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1196089	1196853	-3645	-2881	0	ACD83333.1	20S proteasome%2C alpha subunit		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1194642	1196057	-2849	-1434	0	ACD83332.1	Putative proteasome component		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1193326	1194648	-1440	-118	9	ACD83331.1	Signal recognition particle GTPase		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1192947	1193207	1	261	11	ACD83330.1	Ribosomal protein S16		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	-	1192646	1192762	446	562	0	ACD83329.1	Hypothetical protein		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1191922	1192620	588	1286	8	ACD83328.1	tRNA-(guanine-N1)-methyltransferase		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1191581	1191955	1253	1627	7	ACD83327.1	Ribosomal protein L19		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4
00008	RS16_METI4	GCA_000019665.1	+	1190848	1191528	1680	2360	6	ACD83326.1	Ribonuclease HII		Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilum	Methylacidiphilum infernorum V4

00009	RS16_THEYD	GCA_000020985.1	-	793815	794351	-3012	-2476	0	ACI20485.1	type IV pilus assembly protein PilZ		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	-	794357	794998	-2470	-1829	3	ACI20276.1	chemotaxis protein MotB	TM	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	-	794995	795756	-1832	-1071	0	ACI21187.1	chemotaxis MotA protein	TM	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	+	795813	796760	-1014	-67	0	ACI22065.1	tRNA delta(2)-isopentenylpyrophosphate transferase		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	+	796828	797064	1	237	11	ACI20405.1	ribosomal protein S16		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	+	797112	797348	285	521	10	ACI21321.1	conserved domain protein		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	+	797407	798174	580	1347	8	ACI20613.1	tRNA (guanine-N1)-methyltransferase		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	+	798155	798517	1328	1690	7	ACI21105.1	ribosomal protein L19		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347
00009	RS16_THEYD	GCA_000020985.1	+	798514	799119	1687	2292	6	ACI21777.1	ribonuclease HII		Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii DSM 11347

00010	D1B6K6_THEAS	GCA_000024905.1	+	1476316	1476744	-2579	-2151	0	ACZ19651.1	hypothetical protein		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1476053	1476310	-2145	-1888	0	ACZ19650.1	hypothetical protein		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1475549	1475899	-1734	-1384	1	ACZ19649.1	putative helix-turn-helix protein YlxM/p13 family protein		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1474213	1475556	-1391	-48	9	ACZ19648.1	signal recognition particle protein		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1473898	1474164	1	267	11	ACZ19647.1	ribosomal protein S16		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1473617	1473883	282	548	10	ACZ19646.1	KH type 2 domain protein		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1473085	1473630	535	1080	5	ACZ19645.1	16S rRNA processing protein RimM		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1471970	1473085	1080	2195	8	ACZ19644.1	tRNA (guanine-N1)-methyltransferase		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589
00010	D1B6K6_THEAS	GCA_000024905.1	+	1471584	1471943	2222	2581	7	ACZ19643.1	ribosomal protein L19		Bacteria	Synergistetes	Synergistia	Synergistales	Thermanaerovibrio	Thermanaerovibrio acidaminovorans DSM 6589

00011	RS16_CAMJE	GCA_000009085.1	+	663117	663833	-4072	-3356	0	CAL34843.1	conserved hypothetical protein Cj0706		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	663830	664987	-3359	-2202	0	CAL34844.1	3-deoxy-D-manno-octulosonic-acid transferase	TM	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	664968	665720	-2221	-1469	0	CAL34845.1	putative ribosomal pseudouridine synthase		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	665788	667125	-1401	-64	9	CAL34846.1	signal recognition particle protein		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	667190	667417	1	228	11	CAL34847.1	30S ribosomal protein S16		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	667420	667662	231	473	10	CAL34848.1	hypothetical protein Cj0711		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	667655	668194	466	1005	5	CAL34849.1	putative 16S rRNA processing protein		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	668191	668895	1002	1706	8	CAL34850.1	tRNA (guanine-N1)-methyltransferase		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
00011	RS16_CAMJE	GCA_000009085.1	+	668906	669262	1717	2073	7	CAL34851.1	50S ribosomal protein L19		Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819

00012	RS16_THET8	GCA_000091545.1	+	985329	986984	-3970	-2315	0	BAD70862.1	methylmalonyl-CoA mutase%2C alpha subunit%2C chain A		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	984890	985318	-2304	-1876	0	BAD70861.1	methylmalonyl-CoA mutase%2C alpha subunit%2C chain B		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	984420	984893	-1879	-1406	0	BAD70860.1	conserved hypothetical protein		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	983018	984322	-1308	-4	9	BAD70859.1	signal recognition particle protein		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	982747	983013	1	267	11	BAD70858.1	30S ribosomal protein S16		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	982470	982688	326	544	10	BAD70857.1	conserved hypothetical protein		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	981948	982436	578	1066	5	BAD70856.1	16S rRNA processing protein RimM		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	981229	981948	1066	1785	8	BAD70855.1	tRNA (guanine-N1)-methyltransferase		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8
00012	RS16_THET8	GCA_000091545.1	+	980732	981172	1842	2282	7	BAD70854.1	50S ribosomal protein L19		Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermus	Thermus thermophilus HB8

00013	S0EXP8_CHTCT	GCA_000427095.1	+	3141214	3143727	-6707	-4194	0	CCW36459.1	ATPases with chaperone activity%2C ATP-binding subunit		Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonas	Chthonomonas calidirosea T49
00013	S0EXP8_CHTCT	GCA_000427095.1	+	3143937	3145337	-3984	-2584	0	CCW36460.1	hypothetical protein		Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonas	Chthonomonas calidirosea T49
00013	S0EXP8_CHTCT	GCA_000427095.1	+	3145347	3146096	-2574	-1825	2	CCW36461.1	3-deoxy-D-manno-octulosonate cytidylyltransferase		Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonas	Chthonomonas calidirosea T49
00013	S0EXP8_CHTCT	GCA_000427095.1	+	3146428	3147831	-1493	-90	9	CCW36462.1	signal recognition particle subunit FFH/SRP54 (srp54)		Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonas	Chthonomonas calidirosea T49
00013	S0EXP8_CHTCT	GCA_000427095.1	+	3147922	3148215	1	294	11	CCW36463.1	SSU ribosomal protein S16P		Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonas	Chthonomonas calidirosea T49
