
 ### Family: 1 -> DNA-binding protein

	 KPJ79159.1	DNA-binding protein
	 WP_162924522.1	AAA family ATPase
	 WP_066661760.1	chromosome segregation protein SMC

 ### Family: 14 -> ribosome biogenesis GTPase YlqF

	 OLA43510.1	ribosome biogenesis GTPase YlqF
	 WP_023387863.1	ribosome biogenesis GTPase YlqF
	 WP_135346909.1	ribosome biogenesis GTPase YlqF
	 PWL41577.1	ribosome biogenesis GTPase YlqF

 ### Family: 15 -> polyribonucleotide nucleotidyltransferase

	 WP_181443014.1	polyribonucleotide nucleotidyltransferase
	 WP_012798234.1	polyribonucleotide nucleotidyltransferase

 ### Family: 16 -> 30S ribosomal protein S15

	 WP_123208281.1	30S ribosomal protein S15
	 WP_012798233.1	30S ribosomal protein S15

 ### Family: 17 -> hypothetical protein

	 KKS90375.1	hypothetical protein
	 PJE67289.1	hypothetical protein

 ### Family: 18 -> HAMP domain-containing histidine kinase

	 WP_169726181.1	HAMP domain-containing histidine kinase
	 WP_077598003.1	HAMP domain-containing histidine kinase

 ### Family: 19 -> DNA polymerase IV

	 WP_028264299.1	DNA polymerase IV
	 WP_013708723.1	DNA polymerase IV
	 WP_077598004.1	DNA polymerase IV

 ### Family: 20 -> hypothetical protein

	 OGY24464.1	hypothetical protein
	 OGY31579.1	hypothetical protein

 ### Family: 21 -> hypothetical protein

	 OGY24465.1	hypothetical protein
	 OGY31578.1	hypothetical protein

 ### Family: 22 -> acyl carrier protein

	 OGY24470.1	acyl carrier protein
	 PIU69080.1	acyl carrier protein
	 KKS90371.1	Acyl carrier protein
	 OGY31573.1	hypothetical protein
	 PZR60353.1	acyl carrier protein
	 KKT84961.1	Acyl carrier protein

 ### Family: 23 -> Competence protein A

	 KXK07987.1	Competence protein A
	 OGY24463.1	hypothetical protein
	 PIU69086.1	hypothetical protein
	 KKS90377.1	type IV pilus assembly protein PilM
	 OGY31580.1	hypothetical protein
	 CDE95134.1	cell division protein ftsA
	 KKT84968.1	putative type 4 fimbrial biogenesis protein

 ### Family: 24 -> ribonuclease III

	 KXK07981.1	Ribonuclease 3
	 OGY24469.1	ribonuclease III
	 PIU69081.1	ribonuclease III
	 KKS90372.1	Ribonuclease 3
	 OGY31574.1	ribonuclease III
	 KKT84962.1	Ribonuclease 3
	 PJE67292.1	ribonuclease III

 ### Family: 25 -> transcription antitermination factor NusB

	 KXK07980.1	hypothetical protein
	 OGY24471.1	transcription antitermination factor NusB
	 PIU69079.1	transcription antitermination factor NusB
	 KKS90370.1	N utilization substance protein B-like protein
	 OGY31572.1	transcription antitermination factor NusB
	 KKT84960.1	N utilization substance protein B-like protein
	 PJE67293.1	transcription antitermination factor NusB

 ### Family: 26 -> cold-shock protein

	 OQY14488.1	cold-shock protein
	 PKN53457.1	cold-shock protein

 ### Family: 27 -> glycine--tRNA ligase subunit alpha

	 WP_165059988.1	glycine--tRNA ligase subunit alpha
	 WP_028264292.1	glycine--tRNA ligase subunit alpha
	 WP_123208287.1	glycine--tRNA ligase subunit alpha
	 CDD67301.1	glycine--tRNA ligase alpha subunit
	 PWL79273.1	glycine--tRNA ligase subunit alpha
	 WP_012798240.1	glycine--tRNA ligase subunit alpha
	 WP_013708729.1	glycine--tRNA ligase subunit alpha
	 WP_231699617.1	glycine--tRNA ligase subunit alpha
	 WP_066661792.1	glycine--tRNA ligase subunit alpha
	 WP_165247055.1	glycine--tRNA ligase subunit alpha
	 WP_077597996.1	glycine--tRNA ligase subunit alpha

 ### Family: 28 -> type I DNA topoisomerase

	 PKO07032.1	type I DNA topoisomerase
	 WP_095041876.1	type I DNA topoisomerase
	 OGO26186.1	DNA topoisomerase I

 ### Family: 29 -> mannose-1-phosphate guanylyltransferase

	 PKO07033.1	mannose-1-phosphate guanylyltransferase
	 WP_095041877.1	NTP transferase domain-containing protein
	 OQY91751.1	hypothetical protein

 ### Family: 30 -> DNA protecting protein DprA

	 PKO07034.1	DNA-protecting protein DprA
	 WP_095041878.1	DNA-processing protein DprA
	 OGO26175.1	DNA protecting protein DprA
	 OQY91749.1	DNA protecting protein DprA

 ### Family: 31 -> DegV family protein

	 PKO07039.1	DegV family protein
	 OGO26179.1	hypothetical protein

 ### Family: 32 -> RNA methyltransferase

	 WP_084053925.1	RNA methyltransferase
	 PID75104.1	hypothetical protein
	 WP_089722708.1	RNA methyltransferase
	 PWM50523.1	hypothetical protein
	 CAE79959.1	hypothetical protein
	 PIE57016.1	hypothetical protein
	 OGF52862.1	hypothetical protein
	 OQC43026.1	hypothetical protein
	 OGC16056.1	hypothetical protein
	 OQB21458.1	hypothetical protein
	 WP_012861503.1	RNA methyltransferase

 ### Family: 33 -> hypothetical protein

	 WP_015218060.1	hypothetical protein
	 WP_155082905.1	hypothetical protein

 ### Family: 34 -> GuaB3 family IMP dehydrogenase-related protein

	 WP_006528480.1	GuaB3 family IMP dehydrogenase-related protein
	 WP_124791573.1	IMP dehydrogenase

 ### Family: 35 -> unknown protein

	 BAG05586.1	unknown protein
	 WP_194014222.1	hypothetical protein

 ### Family: 36 -> cation efflux system protein

	 BAG05580.1	cation efflux system protein
	 WP_228009515.1	cation diffusion facilitator family transporter

 ### Family: 37 -> DUF3769 domain-containing protein

	 WP_012954186.1	DUF3769 domain-containing protein
	 WP_107671290.1	DUF3769 domain-containing protein

 ### Family: 38 -> ABC transporter ATP-binding protein

	 WP_106287118.1	ABC transporter ATP-binding protein
	 WP_020370736.1	LPS export ABC transporter ATP-binding protein
	 WP_173112683.1	ATP-binding cassette domain-containing protein
	 WP_173112686.1	ATP-binding cassette domain-containing protein
	 PZM91781.1	ABC transporter ATP-binding protein
	 OQX29575.1	hypothetical protein

 ### Family: 39 -> fatty acyl-AMP ligase

	 WP_006511795.1	fatty acyl-AMP ligase
	 WP_014258531.1	acetate--CoA ligase
	 WP_084057343.1	acetoacetate--CoA ligase
	 WP_155303088.1	AMP-binding protein

 ### Family: 40 -> ABC-type multidrug transport system%2C ATPase and permease component

	 AFY81346.1	ABC-type multidrug transport system%2C ATPase and permease component
	 WP_146296157.1	ABC transporter ATP-binding protein/permease
	 CDE95129.1	putative lipid A export ATP-binding/permease protein MsbA

 ### Family: 41 -> lipid-A-disaccharide synthase

	 RNJ67073.1	lipid-A-disaccharide synthase
	 WP_012954189.1	lipid-A-disaccharide synthase
	 WP_107671287.1	lipid-A-disaccharide synthase

 ### Family: 42 -> TMEM165/GDT1 family protein

	 WP_106258372.1	TMEM165/GDT1 family protein
	 WP_202925262.1	TMEM165/GDT1 family protein

 ### Family: 43 -> hypothetical protein

	 WP_068390418.1	hypothetical protein
	 RNJ67072.1	hypothetical protein

 ### Family: 44 -> response regulator transcription factor

	 WP_068390407.1	response regulator transcription factor
	 WP_028264298.1	response regulator transcription factor
	 WP_118694619.1	response regulator transcription factor
	 WP_077598002.1	response regulator transcription factor

 ### Family: 45 -> histidine kinase

	 WP_068817857.1	histidine kinase
	 WP_246259776.1	histidine kinase

 ### Family: 46 -> ZIP family metal transporter

	 RMG07959.1	ZIP family metal transporter
	 WP_138268677.1	ZIP family metal transporter

 ### Family: 47 -> CHAT domain-containing protein

	 WP_071102119.1	CHAT domain-containing protein
	 EDX73313.1	haemagglutination activity domain protein

 ### Family: 48 -> peroxiredoxin

	 OLP20296.1	peroxiredoxin
	 TAK21486.1	redoxin domain-containing protein

 ### Family: 49 -> pentapeptide repeat-containing protein

	 BAZ39797.1	pentapeptide repeat family protein
	 WP_015200937.1	pentapeptide repeat-containing protein
	 WP_015116532.1	pentapeptide repeat-containing protein
	 KST67725.1	hypothetical protein

 ### Family: 50 -> bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase

	 WP_009344397.1	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
	 WP_044291396.1	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase

 ### Family: 51 -> glycerol kinase

	 PSP17123.1	glycerol kinase
	 WP_119015221.1	glycerol kinase GlpK

 ### Family: 52 -> phosphate ABC transporter substrate-binding protein

	 WP_008520919.1	phosphate ABC transporter substrate-binding protein
	 WP_006528483.1	PstS family phosphate ABC transporter substrate-binding protein

 ### Family: 53 -> tRNA (guanosine(37)-N1)-methyltransferase TrmD

	 WP_008520914.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_029165372.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_037974871.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PCI74297.1	hypothetical protein
	 KKP25996.1	tRNA (guanine-N(1)-)-methyltransferase
	 CBL28407.1	tRNA (guanine-N1)-methyltransferase
	 KKP35791.1	tRNA (guanine-N(1)-)-methyltransferase
	 WP_013047957.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD

 ### Family: 54 -> lactate utilization protein

	 WP_008520902.1	lactate utilization protein
	 WP_013047951.1	lactate utilization protein

 ### Family: 55 -> YlqD family protein

	 WP_160846845.1	YlqD family protein
	 WP_061569956.1	YlqD family protein
	 WP_084053922.1	hypothetical protein
	 WP_049671447.1	YlqD family protein
	 WP_181833285.1	YlqD family protein
	 WP_069718754.1	YlqD family protein
	 WP_121680292.1	YlqD family protein
	 WP_039232124.1	hypothetical protein
	 WP_148940206.1	YlqD family protein
	 WP_059350746.1	YlqD family protein
	 PWM50526.1	hypothetical protein
	 WP_133579269.1	hypothetical protein
	 WP_066264724.1	YlqD family protein
	 WP_099680535.1	YlqD family protein
	 WP_097040386.1	hypothetical protein
	 WP_246218249.1	YlqD family protein
	 PSL51167.1	YlqD protein
	 WP_003322052.1	hypothetical protein
	 WP_159438122.1	hypothetical protein
	 OGC16054.1	hypothetical protein
	 WP_245926328.1	YlqD family protein
	 WP_091790857.1	hypothetical protein
	 WP_033022954.1	YlqD family protein
	 WP_116552986.1	YlqD family protein
	 WP_155111254.1	YlqD family protein

 ### Family: 56 -> YraN family protein

	 PCI38747.1	YraN family protein
	 KQC14151.1	hypothetical protein
	 OGS05583.1	YraN family protein
	 KAF0125172.1	hypothetical protein
	 OGS45712.1	YraN family protein
	 RKX69611.1	YraN family protein
	 RKU28282.1	YraN family protein
	 OQA89723.1	hypothetical protein
	 OGR58983.1	hypothetical protein

 ### Family: 57 -> ribonuclease HII

	 PCI38736.1	ribonuclease HII
	 KQC14150.1	hypothetical protein
	 OGS05584.1	ribonuclease HII
	 OGV37604.1	ribonuclease HII
	 KAF0125171.1	ribonuclease HII
	 KZD15129.1	hypothetical protein
	 TMM13726.1	ribonuclease HII
	 OLA43511.1	ribonuclease HII
	 OGS45711.1	ribonuclease HII
	 OLC57894.1	hypothetical protein
	 RKX69610.1	ribonuclease HII
	 RKU28281.1	ribonuclease HII
	 PYQ11326.1	ribonuclease HII
	 WP_162924523.1	ribonuclease HII
	 OQA89722.1	Ribonuclease HII
	 PZR62570.1	ribonuclease HII
	 TME15655.1	ribonuclease HII
	 PID79572.1	ribonuclease HII

 ### Family: 58 -> ribulose-phosphate 3-epimerase

	 PCI38741.1	ribulose-phosphate 3-epimerase
	 OGS05588.1	ribulose-phosphate 3-epimerase
	 KAF0125165.1	ribulose-phosphate 3-epimerase
	 KZD15136.1	hypothetical protein
	 OGS45706.1	ribulose-phosphate 3-epimerase
	 OQA89717.1	Ribulose-phosphate 3-epimerase
	 OGR58994.1	ribulose-phosphate 3-epimerase
	 PID79558.1	ribulose-phosphate 3-epimerase

 ### Family: 59 -> PASTA domain containing protein

	 PCI38742.1	hypothetical protein
	 OGS05589.1	hypothetical protein
	 KAF0125164.1	PASTA domain containing protein
	 OGS45705.1	hypothetical protein
	 OQA89716.1	Serine/threonine-protein kinase PK-1
	 OGR58988.1	hypothetical protein
	 PID79557.1	hypothetical protein

 ### Family: 60 -> 50S ribosomal protein L19

	 OUM88323.1	50S ribosomal protein L19
	 KAF0208092.1	LSU ribosomal protein
	 PCI38737.1	50S ribosomal protein L19
	 WP_036816318.1	50S ribosomal protein L19
	 WP_026867585.1	50S ribosomal protein L19
	 KQC14149.1	50S ribosomal protein L19
	 WP_008520917.1	50S ribosomal protein L19
	 WP_020156283.1	50S ribosomal protein L19
	 WP_040228099.1	50S ribosomal protein L19
	 WP_046510799.1	50S ribosomal protein L19
	 WP_049671444.1	50S ribosomal protein L19
	 WP_029165371.1	50S ribosomal protein L19
	 WP_113808295.1	50S ribosomal protein L19
	 WP_069718757.1	50S ribosomal protein L19
	 WP_124727617.1	50S ribosomal protein L19
	 OGV37605.1	50S ribosomal protein L19
	 WP_138196690.1	50S ribosomal protein L19
	 PID75141.1	50S ribosomal protein L19
	 KAF0125170.1	large subunit ribosomal protein L19
	 KZD15130.1	50S ribosomal protein L19
	 WP_121680290.1	50S ribosomal protein L19
	 KAA0226196.1	50S ribosomal protein L19
	 WP_066169967.1	50S ribosomal protein L19
	 WP_039232130.1	50S ribosomal protein L19
	 AMB98947.1	50S ribosomal protein L19
	 WP_089722709.1	50S ribosomal protein L19
	 OJF16658.1	50S ribosomal protein L19
	 TDI95164.1	50S ribosomal protein L19
	 WP_113929873.1	50S ribosomal protein L19
	 WP_037974873.1	50S ribosomal protein L19
	 WP_010172426.1	50S ribosomal protein L19
	 WP_004833379.1	50S ribosomal protein L19
	 TML43043.1	50S ribosomal protein L19
	 CAE79958.1	50S ribosomal protein L19
	 TSA16900.1	50S ribosomal protein L19
	 OGS45710.1	50S ribosomal protein L19
	 WP_131926252.1	50S ribosomal protein L19
	 OLC57896.1	50S ribosomal protein L19
	 WP_004825662.1	50S ribosomal protein L19
	 WP_040929189.1	50S ribosomal protein L19
	 WP_066264717.1	50S ribosomal protein L19
	 KAF0152632.1	50S ribosomal protein L19
	 KKP25995.1	50S ribosomal protein L19
	 RKX69609.1	50S ribosomal protein L19
	 WP_091351125.1	50S ribosomal protein L19
	 RKU28280.1	50S ribosomal protein L19
	 KKP35790.1	50S ribosomal protein L19
	 WP_092478846.1	50S ribosomal protein L19
	 WP_008354510.1	50S ribosomal protein L19
	 WP_013047958.1	50S ribosomal protein L19
	 TMC83631.1	50S ribosomal protein L19
	 PIE57015.1	50S ribosomal protein L19
	 WP_077309621.1	50S ribosomal protein L19
	 WP_165199460.1	50S ribosomal protein L19
	 WP_119067957.1	50S ribosomal protein L19
	 OGF52897.1	50S ribosomal protein L19
	 OQA89721.1	50S ribosomal protein L19
	 WP_023387862.1	50S ribosomal protein L19
	 PZR62571.1	50S ribosomal protein L19
	 PSH03674.1	50S ribosomal protein L19
	 PSL51170.1	LSU ribosomal protein L19P
	 WP_003322048.1	50S ribosomal protein L19
	 WP_076556689.1	50S ribosomal protein L19
	 OQC43027.1	50S ribosomal protein L19
	 OGR58984.1	50S ribosomal protein L19
	 OGC16057.1	50S ribosomal protein L19
	 WP_044642608.1	50S ribosomal protein L19
	 OQB21457.1	50S ribosomal protein L19
	 TMK87266.1	50S ribosomal protein L19
	 PLS75807.1	50S ribosomal protein L19
	 PKQ28857.1	50S ribosomal protein L19
	 TME15656.1	50S ribosomal protein L19
	 WP_135346908.1	50S ribosomal protein L19
	 PZM91787.1	50S ribosomal protein L19
	 WP_088005906.1	50S ribosomal protein L19
	 PWL41576.1	50S ribosomal protein L19
	 OQX29581.1	50S ribosomal protein L19
	 WP_133451941.1	50S ribosomal protein L19
	 WP_033022957.1	50S ribosomal protein L19
	 WP_116552989.1	50S ribosomal protein L19
	 WP_155111257.1	50S ribosomal protein L19
	 PID79563.1	50S ribosomal protein L19

 ### Family: 61 -> putative DNA-binding protein

	 WP_236860211.1	YlxM family DNA-binding protein
	 OUM88318.1	hypothetical protein
	 WP_160846848.1	putative DNA-binding protein
	 WP_156889194.1	putative DNA-binding protein
	 WP_008520904.1	hypothetical protein
	 WP_020156291.1	putative DNA-binding protein
	 WP_040228091.1	putative DNA-binding protein
	 WP_046510782.1	putative DNA-binding protein
	 WP_242941973.1	putative DNA-binding protein
	 WP_049671451.1	putative DNA-binding protein
	 WP_029165377.1	hypothetical protein
	 WP_113808288.1	putative DNA-binding protein
	 WP_069718750.1	putative DNA-binding protein
	 WP_124727622.1	YlxM family DNA-binding protein
	 WP_138196696.1	putative DNA-binding protein
	 WP_121680296.1	putative DNA-binding protein
	 WP_066170312.1	putative DNA-binding protein
	 WP_039232113.1	putative DNA-binding protein
	 AMB98955.1	DNA-binding protein
	 WP_223174464.1	YlxM family DNA-binding protein
	 OJF16657.1	hypothetical protein
	 OLA43504.1	hypothetical protein
	 WP_113929868.1	putative DNA-binding protein
	 WP_051682617.1	hypothetical protein
	 PWM50534.1	hypothetical protein
	 WP_248109511.1	helix-turn-helix domain-containing protein
	 WP_131926242.1	YlxM family DNA-binding protein
	 WP_133579263.1	putative DNA-binding protein
	 WP_138268650.1	DNA-binding protein
	 WP_019034893.1	helix-turn-helix domain-containing protein
	 CBL06225.1	Uncharacterized protein conserved in bacteria
	 WP_144265443.1	putative DNA-binding protein
	 WP_066264729.1	putative DNA-binding protein
	 WP_091351130.1	hypothetical protein
	 WP_118694622.1	putative DNA-binding protein
	 WP_092478868.1	DNA-binding protein
	 WP_099680532.1	putative DNA-binding protein
	 WP_013047952.1	hypothetical protein
	 TMC83625.1	hypothetical protein
	 WP_097040379.1	putative DNA-binding protein
	 WP_165199471.1	putative DNA-binding protein
	 WP_023387856.1	putative DNA-binding protein
	 PSL51163.1	hypothetical protein
	 WP_003322056.1	putative DNA-binding protein
	 WP_076556696.1	putative DNA-binding protein
	 WP_187118726.1	YlxM family DNA-binding protein
	 OQB21464.1	putative DNA-binding protein
	 WP_109430905.1	hypothetical protein
	 WP_231922708.1	YlxM family DNA-binding protein
	 WP_091790861.1	YlxM family DNA-binding protein
	 TME15662.1	hypothetical protein
	 WP_135346902.1	putative DNA-binding protein
	 OQB15769.1	putative DNA-binding protein
	 WP_088006011.1	putative DNA-binding protein
	 PWL41570.1	DNA-binding protein
	 PWM34104.1	DNA-binding protein
	 WP_061912710.1	putative DNA-binding protein
	 WP_116552982.1	putative DNA-binding protein
	 WP_155111342.1	putative DNA-binding protein

 ### Family: 62 -> amidohydrolase family protein

	 WP_236860309.1	amidohydrolase family protein
	 WP_148133809.1	amidohydrolase family protein

 ### Family: 63 -> tRNA (guanosine(37)-N1)-methyltransferase TrmD

	 PKQ17445.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OUM88322.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KAF0208090.1	hypothetical protein
	 PCI38738.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_160846843.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_035857271.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KQC14148.1	hypothetical protein
	 WP_061569991.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_040228098.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_046510796.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OGS05585.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_084053924.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_049671445.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_165252218.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_113808294.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_069718756.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_168722524.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_124728719.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OGV37651.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_138196691.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PID75103.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KAF0125169.1	tRNA (guanine37-N1)-methyltransferase
	 OGY24466.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KZD15131.1	hypothetical protein
	 WP_035425411.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_121680291.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KAA0226197.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_123208285.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 TMM13727.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_107943073.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_039232246.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 AMB98948.1	tRNA (guanine-N1)-methyltransferase
	 WP_089722707.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OJF16655.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OLA43509.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 CDD67299.1	tRNA (guanine-N(1)-)-methyltransferase
	 PYI93903.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 TDI95163.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OGY31577.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_148940202.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_059350748.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PWM50524.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PWL79275.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_041953910.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 TML43042.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 CAE79960.1	tRNA methyltransferase
	 TSA16901.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OGS45709.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_131926357.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OLC57893.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_019034891.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 CBL06219.1	tRNA (Guanine37-N(1)-) methyltransferase
	 WP_012798238.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_070710342.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_066264719.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KAF0152633.1	tRNA (guanine-N1)-methyltransferase
	 TMM01375.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 RKX69608.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_013708727.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_091351126.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_075276638.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 RKU28279.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PYQ11327.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_118694621.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_092478847.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_099680537.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 TMC83630.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_256156264.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PIE57017.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_077309623.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_165199461.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_119067955.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OQA89720.1	tRNA (guanine-N(1)-)-methyltransferase
	 WP_023387861.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PZR62605.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PSH03673.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PSL51169.1	tRNA (guanine37-N(1)-) methyltransferase
	 WP_003322049.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_076556690.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OQC43025.1	tRNA (guanine-N(1)-)-methyltransferase
	 OGR58985.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OGC16055.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_044642966.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OQB21459.1	tRNA (guanine-N(1)-)-methyltransferase
	 WP_109430896.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 TMK87279.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_091790855.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_066661787.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PLS75806.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PKQ28856.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 TME15657.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_135346907.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 OQB15764.1	tRNA (guanine-N(1)-)-methyltransferase
	 PZM91786.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 KKT84965.1	tRNA (guanine-N(1)-)-methyltransferase
	 WP_088005905.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 WP_165247053.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
	 PWL41575.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD
